symbol,prediction_session,target_session,exclusion_reason
DELTAMAGNT.NS,2019-11-21,2019-11-25,NOT_NEXT_SESSION(missed=1)
DELTAMAGNT.NS,2019-12-03,2019-12-05,NOT_NEXT_SESSION(missed=1)
DGCONTENT.NS,2022-02-01,2022-02-07,NOT_NEXT_SESSION(missed=3)
DGCONTENT.NS,2022-02-07,2022-02-14,NOT_NEXT_SESSION(missed=4)
DGCONTENT.NS,2022-02-14,2022-02-21,NOT_NEXT_SESSION(missed=4)
DGCONTENT.NS,2022-02-21,2022-02-28,NOT_NEXT_SESSION(missed=4)
DGCONTENT.NS,2022-02-28,2022-03-14,NOT_NEXT_SESSION(missed=8)
DGCONTENT.NS,2022-03-14,2022-03-16,NOT_NEXT_SESSION(missed=1)
DGCONTENT.NS,2024-05-08,2024-05-13,NOT_NEXT_SESSION(missed=2)
DGCONTENT.NS,2024-05-13,2024-05-27,NOT_NEXT_SESSION(missed=9)
DGCONTENT.NS,2024-05-27,2024-06-03,NOT_NEXT_SESSION(missed=4)
DGCONTENT.NS,2024-06-03,2024-06-10,NOT_NEXT_SESSION(missed=4)
DGCONTENT.NS,2024-06-20,2024-06-24,NOT_NEXT_SESSION(missed=1)
DHANBANK.NS,2018-11-30,2019-01-09,NOT_NEXT_SESSION(missed=26)
DHRUV.NS,2026-05-13,2026-05-15,NOT_NEXT_SESSION(missed=1)
DIGJAMLMTD.NS,2023-09-08,2023-09-18,NOT_NEXT_SESSION(missed=5)
DIGJAMLMTD.NS,2023-09-18,2023-09-25,NOT_NEXT_SESSION(missed=3)
DIGJAMLMTD.NS,2023-09-25,2023-10-03,NOT_NEXT_SESSION(missed=4)
DIGJAMLMTD.NS,2023-10-03,2023-10-09,NOT_NEXT_SESSION(missed=3)
DIGJAMLMTD.NS,2023-10-09,2023-10-16,NOT_NEXT_SESSION(missed=4)
DIGJAMLMTD.NS,2023-10-16,2023-10-23,NOT_NEXT_SESSION(missed=4)
DIGJAMLMTD.NS,2023-10-23,2023-10-30,NOT_NEXT_SESSION(missed=3)
DIGJAMLMTD.NS,2023-10-30,2023-11-01,NOT_NEXT_SESSION(missed=1)
DIGJAMLMTD.NS,2025-10-15,2025-10-20,NOT_NEXT_SESSION(missed=2)
DIGJAMLMTD.NS,2025-10-20,2025-10-27,NOT_NEXT_SESSION(missed=3)
DIGJAMLMTD.NS,2025-10-27,2025-11-03,NOT_NEXT_SESSION(missed=4)
DIGJAMLMTD.NS,2025-11-03,2025-11-10,NOT_NEXT_SESSION(missed=3)
DIGJAMLMTD.NS,2025-11-10,2025-11-17,NOT_NEXT_SESSION(missed=4)
DIGJAMLMTD.NS,2025-11-17,2025-11-24,NOT_NEXT_SESSION(missed=4)
DIGJAMLMTD.NS,2025-11-24,2025-12-01,NOT_NEXT_SESSION(missed=4)
DIGJAMLMTD.NS,2025-12-01,2025-12-08,NOT_NEXT_SESSION(missed=4)
DNAMEDIA.NS,2019-01-07,2019-02-21,NOT_NEXT_SESSION(missed=32)
DNAMEDIA.NS,2020-06-22,2020-06-29,NOT_NEXT_SESSION(missed=4)
DNAMEDIA.NS,2020-06-29,2020-07-01,NOT_NEXT_SESSION(missed=1)
DNAMEDIA.NS,2020-07-01,2020-07-06,NOT_NEXT_SESSION(missed=2)
DNAMEDIA.NS,2020-07-06,2020-07-23,NOT_NEXT_SESSION(missed=12)
DNAMEDIA.NS,2020-07-27,2020-07-31,NOT_NEXT_SESSION(missed=3)
DNAMEDIA.NS,2021-02-19,2021-03-01,NOT_NEXT_SESSION(missed=5)
