timestamp,symbol,instrument_key,instrument_class,status,rows_received,rows_valid,rows_saved,rows_existing,first_session,last_session,conventions,duplicates,weekend_violations,ohlc_violations,refetch_compared,refetch_identical,error_type,error_message,elapsed_seconds,attempt
2026-09-07T14:53:54,SILGO.NS,NSE_EQ|INE01II01013,nse_equity,SUCCESS,1430,1430,1420,10,2018-10-10,2026-09-07,03:45,0,0,0,10,10,,,10.99,1
2026-09-07T14:53:54,SILLYMONKS.NS,NSE_EQ|INE203Y01012,nse_equity,SUCCESS,1818,1818,1808,10,2018-01-18,2026-09-07,03:45,0,0,0,10,10,,,10.29,1
2026-09-07T14:53:54,SINGERIND.NS,NSE_EQ|INE638A01035,nse_equity,SUCCESS,116,116,106,10,2026-03-19,2026-09-07,03:45,0,0,0,10,10,,,8.08,1
2026-09-07T14:53:54,SIGMAADV.NS,NSE_EQ|INE933B01012,nse_equity,SUCCESS,2433,2433,2423,10,2016-09-06,2026-09-07,03:45,0,0,0,10,9,,,13.31,1
2026-09-07T14:53:54,SIMPLEXINF.NS,NSE_EQ|INE059B01024,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,10.34,1
2026-09-07T14:53:54,SINCLAIR.NS,NSE_EQ|INE985A01022,nse_equity,SUCCESS,598,598,588,10,2024-04-10,2026-09-07,03:45,0,0,0,10,10,,,9.47,1
2026-09-07T14:53:54,SILINV.NS,NSE_EQ|INE923A01015,nse_equity,SUCCESS,2470,2470,2460,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,11.04,1
2026-09-07T14:53:54,SIL.NS,NSE_EQ|INE173A01025,nse_equity,SUCCESS,2406,2406,2396,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,11.37,1
2026-09-07T14:53:55,SINDHUTRAD.NS,NSE_EQ|INE325D01025,nse_equity,SUCCESS,799,799,789,10,2023-06-20,2026-09-07,03:45,0,0,0,10,10,,,9.28,1
2026-09-07T14:53:56,SIS.NS,NSE_EQ|INE285J01028,nse_equity,SUCCESS,2247,2247,2237,10,2017-08-10,2026-09-07,03:45,0,0,0,10,10,,,9.28,1
2026-09-07T14:53:56,SIRCA.NS,NSE_EQ|INE792Z01011,nse_equity,SUCCESS,1984,1984,1974,10,2018-05-30,2026-09-07,03:45,0,0,0,10,9,,,9.48,1
2026-09-07T14:53:56,SINTERCOM.NS,NSE_EQ|INE129Z01016,nse_equity,SUCCESS,1939,1939,1929,10,2018-02-15,2026-09-07,03:45,0,0,0,10,10,,,9.80,1
2026-09-07T14:53:57,SIYSIL.NS,NSE_EQ|INE076B01028,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,8.79,1
2026-09-07T14:53:59,SJS.NS,NSE_EQ|INE284S01014,nse_equity,SUCCESS,1195,1195,1185,10,2021-11-15,2026-09-07,03:45,0,0,0,10,10,,,5.42,1
2026-09-07T14:53:59,SJVN.NS,NSE_EQ|INE002L01015,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,5.31,1
2026-09-07T14:53:59,SKFINDUS.NS,NSE_EQ|INE2J8701016,nse_equity,SUCCESS,187,187,177,10,2025-12-05,2026-09-07,03:45,0,0,0,10,9,,,5.36,1
2026-09-07T14:54:00,SKFINDIA.NS,NSE_EQ|INE640A01023,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,6.65,1
2026-09-07T14:54:01,SMARTWORKS.NS,NSE_EQ|INE0NAZ01010,nse_equity,SUCCESS,283,283,273,10,2025-07-17,2026-09-07,03:45,0,0,0,10,10,,,6.92,1
2026-09-07T14:54:01,SKIPPER.NS,NSE_EQ|INE439E01022,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,7.08,1
2026-09-07T14:54:06,SMALLGROWW.NS,NSE_EQ|INF666M01PG9,nse_equity,SUCCESS,57,57,47,10,2026-06-18,2026-09-07,03:45,0,0,0,10,10,,,11.67,1
2026-09-07T14:54:06,SKYWAYS.NS,NSE_EQ|INE0PX301025,nse_equity,SUCCESS,5,5,1,4,2026-09-01,2026-09-07,03:45,0,0,0,4,4,,,11.78,1
2026-09-07T14:54:06,SML100CASE.NS,NSE_EQ|INF0R8F01141,nse_equity,SUCCESS,244,244,234,10,2025-09-12,2026-09-07,03:45,0,0,0,10,10,,,11.79,1
2026-09-07T14:54:07,SMALLADD.NS,NSE_EQ|INF740KA1WX3,nse_equity,SUCCESS,178,178,168,10,2025-12-18,2026-09-07,03:45,0,0,0,10,10,,,13.20,1
2026-09-07T14:54:12,SMALL250.NS,NSE_EQ|INF769K01PQ4,nse_equity,SUCCESS,203,203,193,10,2025-11-13,2026-09-07,03:45,0,0,0,10,10,,,17.64,1
2026-09-07T14:54:12,SMCGLOBAL.NS,NSE_EQ|INE103C01036,nse_equity,SUCCESS,1371,1371,1361,10,2021-02-25,2026-09-07,03:45,0,0,0,10,10,,,17.58,1
2026-09-07T14:54:12,SMLT.NS,NSE_EQ|INE017W01010,nse_equity,SUCCESS,1180,1180,1170,10,2021-11-25,2026-09-07,03:45,0,0,0,10,10,,,17.58,1
2026-09-07T14:54:12,SMSPHARMA.NS,NSE_EQ|INE812G01025,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,16.98,1
2026-09-07T14:54:12,SMLMAH.NS,NSE_EQ|INE294B01019,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,17.58,1
2026-09-07T14:54:12,SOFTTECH.NS,NSE_EQ|INE728Z01015,nse_equity,SUCCESS,1710,1710,1700,10,2018-05-11,2026-09-07,03:45,0,0,0,10,10,,,15.74,1
2026-09-07T14:54:13,SOLARINDS.NS,NSE_EQ|INE343H01029,nse_equity,SUCCESS,2477,2477,2466,11,2016-09-06,2026-09-07,03:45,0,0,0,11,11,,,14.09,1
2026-09-07T14:54:13,SNOWMAN.NS,NSE_EQ|INE734N01019,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,16.71,1
2026-09-07T14:54:13,SOBHA.NS,NSE_EQ|INE671H01015,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,9,,,16.71,1
2026-09-07T14:54:13,SKMEGGPROD.NS,NSE_EQ|INE411D01023,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,18.96,1
2026-09-07T14:54:13,SOLARA.NS,NSE_EQ|INE624Z01016,nse_equity,SUCCESS,2030,2030,2020,10,2018-06-27,2026-09-07,03:45,0,0,0,10,10,,,16.26,1
2026-09-07T14:54:15,SOLARWORLD.NS,NSE_EQ|INE0TY101024,nse_equity,SUCCESS,232,232,222,10,2025-09-30,2026-09-07,03:45,0,0,0,10,10,,,15.85,1
2026-09-07T14:54:17,SOLEX.NS,NSE_EQ|INE880Y01017,nse_equity,SUCCESS,1460,1460,1450,10,2018-02-05,2026-09-07,03:45,0,0,0,10,10,,,17.70,1
2026-09-07T14:54:17,SOMANYCERA.NS,NSE_EQ|INE355A01028,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,16.39,1
2026-09-07T14:54:18,SOMICONVEY.NS,NSE_EQ|INE323J01019,nse_equity,SUCCESS,2462,2462,2452,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,17.12,1
2026-09-07T14:54:18,SOMATEX.NS,NSE_EQ|INE314C01013,nse_equity,SUCCESS,2405,2405,2395,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,17.44,1
2026-09-07T14:54:22,SONAL.NS,NSE_EQ|INE321M01017,nse_equity,SUCCESS,67,67,60,7,2026-04-21,2026-09-04,03:45,0,0,0,7,7,,,16.21,1
2026-09-07T14:54:24,SONAMLTD.NS,NSE_EQ|INE00LM01029,nse_equity,SUCCESS,1651,1651,1641,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,18.37,1
2026-09-07T14:54:24,SONACOMS.NS,NSE_EQ|INE073K01018,nse_equity,SUCCESS,1292,1292,1282,10,2021-06-24,2026-09-07,03:45,0,0,0,10,10,,,18.53,1
2026-09-07T14:54:25,SPCENET.NS,NSE_EQ|INE970N01027,nse_equity,ERROR,1697,0,0,0,,,03:45,0,1,0,10,10,ValidationError,session date 2025-04-26 is a weekend,12.17,1
2026-09-07T14:54:26,SONATSOFTW.NS,NSE_EQ|INE269A01021,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,18.35,1
2026-09-07T14:54:26,SOTL.NS,NSE_EQ|INE035D01020,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,14.61,1
2026-09-07T14:54:26,SPANDANA.NS,NSE_EQ|INE572J01011,nse_equity,SUCCESS,1751,1751,1741,10,2019-08-19,2026-09-07,03:45,0,0,0,10,10,,,14.61,1
2026-09-07T14:54:26,SPAL.NS,NSE_EQ|INE212I01016,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,14.69,1
2026-09-07T14:54:26,SOUTHWEST.NS,NSE_EQ|INE980Y01015,nse_equity,SUCCESS,2032,2032,2022,10,2018-02-19,2026-09-07,03:45,0,0,0,10,10,,,14.69,1
2026-09-07T14:54:28,SOUTHBANK.NS,NSE_EQ|INE683A01023,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,15.85,1
2026-09-07T14:54:28,SPARC.NS,NSE_EQ|INE232I01014,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,15.92,1
2026-09-07T14:54:28,SPELS.NS,NSE_EQ|INE252A01019,nse_equity,SUCCESS,16,16,6,10,2026-08-17,2026-09-07,03:45,0,0,0,10,10,,,15.27,1
2026-09-07T14:54:28,SPLIL.NS,NSE_EQ|INE978G01016,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,15.42,1
2026-09-07T14:54:29,SPIC.NS,NSE_EQ|INE147A01011,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,16.00,1
2026-09-07T14:54:29,SPENCERS.NS,NSE_EQ|INE020801028,nse_equity,SUCCESS,1878,1878,1868,10,2019-02-08,2026-09-07,03:45,0,0,0,10,10,,,16.00,1
2026-09-07T14:54:30,SPLPETRO.NS,NSE_EQ|INE663A01033,nse_equity,SUCCESS,1066,1066,1056,10,2022-05-24,2026-09-07,03:45,0,0,0,10,10,,,14.97,1
2026-09-07T14:54:30,SPORTKING.NS,NSE_EQ|INE885H01029,nse_equity,SUCCESS,1002,1002,992,10,2022-08-24,2026-09-07,03:45,0,0,0,10,10,,,12.94,1
2026-09-07T14:54:30,SPMLINFRA.NS,NSE_EQ|INE937A01023,nse_equity,SUCCESS,2458,2458,2448,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,13.00,1
2026-09-07T14:54:32,SRD.NS,NSE_EQ|INE01NE01012,nse_equity,SUCCESS,475,475,465,10,2024-10-09,2026-09-07,03:45,0,0,0,10,10,,,13.55,1
2026-09-07T14:54:36,SREEL.NS,NSE_EQ|INE099F01013,nse_equity,SUCCESS,2470,2470,2460,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,17.09,1
