symbol,category,instrument_class,in_upstox_master,identity_class,legacy_rows,canonical_rows,intersection_sessions,legacy_only_sessions,canonical_only_sessions,replacement_pct,legacy_first,legacy_last,canonical_first,canonical_last
STRIDERS-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),63,0,0,63,0,0.0,2026-03-06,2026-06-18,,
APSISAERO-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),61,0,0,61,0,0.0,2026-03-18,2026-06-18,,
MARUSHIKA-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),60,0,0,60,0,0.0,2026-02-19,2026-06-16,,
RIIT-IV.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-IV),57,0,0,57,0,0.0,2026-03-24,2026-06-18,,
ACETEC-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),56,0,0,56,0,0.0,2026-03-09,2026-07-02,,
ASHIKA.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,53,0,0,53,0,0.0,2026-04-20,2026-07-06,,
RMC-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),53,0,0,53,0,0.0,2026-04-01,2026-06-18,,
NIMBSPROJ-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),50,0,0,50,0,0.0,2026-04-06,2026-06-17,,
VIVIDEL-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),50,0,0,50,0,0.0,2026-04-07,2026-06-18,,
TVSINVIT-IV.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-IV),48,0,0,48,0,0.0,2025-07-08,2026-06-09,,
SPCON-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),44,0,0,44,0,0.0,2026-03-13,2026-06-17,,
ABANSENT-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
BI.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
BLACKROSE.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
BNAGROCHEM-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
BTTL.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
EMPOWER-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
HALDYNGL.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
INVPRECQ.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
KANCHI-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
MAJESAUT.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
MMWL-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
PIONRINV.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
PRADPME.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
SCANSTL.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
SHARDUL.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
TAMBOLIIN.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
TRANSPEK.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
VELJAN.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,42,0,0,42,0,0.0,2026-04-20,2026-06-18,,
THACKER-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),40,0,0,40,0,0.0,2026-04-20,2026-06-18,,
RSDFIN.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,38,0,0,38,0,0.0,2026-04-20,2026-06-18,,
ADISOFT-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),35,0,0,35,0,0.0,2026-04-30,2026-07-06,,
CITIUSINVT-IV.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-IV),35,0,0,35,0,0.0,2026-04-29,2026-06-18,,
^BSESN,NO_REPLACEMENT,other_index,False,index,35,0,0,35,0,0.0,2026-07-13,2026-08-28,,
BNALTD.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,34,0,0,34,0,0.0,2026-04-20,2026-06-18,,
